r          	Er(r)      	Ephi(r)    	Ez(r)      	Hr(r)      	Hphi(r)    	Hz(r)      	Jr(r)      	Jphi(r)    	Jz(r)      
2.78714e-13	1.03877e-12	-2.5367e-20	9.96       	3.36529e-20	3.56833e-20	6.82063e-13	0          	0          	0          
2.70722e-13	1.03475e-12	-3.34103e-20	10.02      	3.3795e-20 	2.96929e-20	6.84559e-13	0          	0          	0          
2.63253e-13	1.02587e-12	-2.5278e-20	10.08      	3.37659e-20	3.59382e-20	6.79189e-13	0          	0          	0          
2.55325e-13	1.02217e-12	-3.32932e-20	10.14      	3.38993e-20	2.96814e-20	6.82026e-13	0          	0          	0          
2.48011e-13	1.01327e-12	-2.52311e-20	10.2       	3.38455e-20	3.62223e-20	6.76566e-13	0          	0          	0          
2.40846e-13	1.00979e-12	-3.30884e-20	10.26      	3.40043e-20	2.96919e-20	6.79416e-13	0          	0          	0          
2.33202e-13	1.0014e-12 	-2.52472e-20	10.32      	3.3946e-20 	3.64569e-20	6.74156e-13	0          	0          	0          
2.2639e-13 	9.9788e-13 	-3.28593e-20	10.38      	3.40763e-20	2.96879e-20	6.77256e-13	0          	0          	0          
2.1916e-13 	9.89807e-13	-2.52444e-20	10.44      	3.40753e-20	3.6646e-20 	6.71951e-13	0          	0          	0          
2.12305e-13	9.8657e-13 	-3.26093e-20	10.5       	3.42001e-20	2.97326e-20	6.74737e-13	0          	0          	0          
2.0555e-13 	9.78995e-13	-2.53305e-20	10.56      	3.41749e-20	3.68518e-20	6.69643e-13	0          	0          	0          
1.99041e-13	9.75282e-13	-3.23737e-20	10.62      	3.42785e-20	2.97657e-20	6.72437e-13	0          	0          	0          
1.92351e-13	9.68168e-13	-2.53331e-20	10.68      	3.42816e-20	3.70676e-20	6.67261e-13	0          	0          	0          
1.86445e-13	9.64631e-13	-3.21754e-20	10.74      	3.43563e-20	2.9768e-20 	6.70372e-13	0          	0          	0          
1.79685e-13	9.57803e-13	-2.53625e-20	10.8       	3.43642e-20	3.72938e-20	6.65182e-13	0          	0          	0          
1.73339e-13	9.54421e-13	-3.19319e-20	10.86      	3.44719e-20	2.97666e-20	6.68477e-13	0          	0          	0          
1.67243e-13	9.47836e-13	-2.54654e-20	10.92      	3.44534e-20	3.74855e-20	6.63346e-13	0          	0          	0          
1.60935e-13	9.44533e-13	-3.16057e-20	10.98      	3.4567e-20 	2.9832e-20 	6.66134e-13	0          	0          	0          
1.55121e-13	9.38656e-13	-2.56307e-20	11.04      	3.4605e-20 	3.76437e-20	6.61358e-13	0          	0          	0          
1.4915e-13 	9.34784e-13	-3.13049e-20	11.1       	3.46426e-20	2.98917e-20	6.64173e-13	0          	0          	0          
1.43295e-13	9.29343e-13	-2.57526e-20	11.16      	3.46792e-20	3.78063e-20	6.59359e-13	0          	0          	0          
1.3772e-13 	9.25484e-13	-3.10116e-20	11.22      	3.47321e-20	2.99478e-20	6.62327e-13	0          	0          	0          
1.32122e-13	9.20347e-13	-2.59032e-20	11.28      	3.47741e-20	3.79416e-20	6.57726e-13	0          	0          	0          
1.26394e-13	9.16425e-13	-3.07102e-20	11.34      	3.48135e-20	3.00364e-20	6.60501e-13	0          	0          	0          
1.20782e-13	9.11795e-13	-2.60567e-20	11.4       	3.48814e-20	3.80855e-20	6.56095e-13	0          	0          	0          
1.15628e-13	9.07613e-13	-3.03989e-20	11.46      	3.48946e-20	3.01062e-20	6.58774e-13	0          	0          	0          
1.10411e-13	9.03535e-13	-2.62202e-20	11.52      	3.49787e-20	3.82375e-20	6.54107e-13	0          	0          	0          
1.05105e-13	8.99488e-13	-3.00251e-20	11.58      	3.4989e-20 	3.01998e-20	6.56808e-13	0          	0          	0          
1.00033e-13	8.95583e-13	-2.64961e-20	11.64      	3.50656e-20	3.82804e-20	6.52833e-13	0          	0          	0          
9.49375e-14	8.90959e-13	-2.96112e-20	11.7       	3.50737e-20	3.03561e-20	6.55068e-13	0          	0          	0          
8.97392e-14	8.87992e-13	-2.6703e-20	11.76      	3.51731e-20	3.83408e-20	6.51103e-13	0          	0          	0          
8.4974e-14 	8.83305e-13	-2.92961e-20	11.82      	3.51615e-20	3.04909e-20	6.53618e-13	0          	0          	0          
