r          	Er(r)      	Ephi(r)    	Ez(r)      	Hr(r)      	Hphi(r)    	Hz(r)      	Jr(r)      	Jphi(r)    	Jz(r)      
87.612     	-2.91297e-12	6.88126e-12	-2.22043e-19	4.3217e-19 	3.7449e-19 	7.06759e-12	0          	0          	0          
88.2       	-2.94263e-12	7.36406e-12	-3.96338e-19	4.54221e-19	4.01723e-19	7.44567e-12	0          	0          	0          
88.788     	-2.96997e-12	7.07114e-12	-2.4435e-19	4.43039e-19	5.07168e-19	7.0667e-12 	0          	0          	0          
89.376     	-2.99755e-12	7.16125e-12	-2.94204e-19	4.47447e-19	3.35429e-19	7.44705e-12	0          	0          	0          
89.964     	-3.02685e-12	7.47786e-12	-3.80626e-19	4.62699e-19	4.83774e-19	7.49272e-12	0          	0          	0          
90.552     	-3.05314e-12	7.07753e-12	-2.13061e-19	4.46387e-19	4.51379e-19	7.24607e-12	0          	0          	0          
91.14      	-3.08162e-12	7.46805e-12	-3.6789e-19	4.64002e-19	3.55611e-19	7.74918e-12	0          	0          	0          
91.728     	-3.10968e-12	7.45564e-12	-3.22887e-19	4.65087e-19	5.29401e-19	7.48084e-12	0          	0          	0          
92.316     	-3.13577e-12	7.20772e-12	-2.3475e-19	4.54966e-19	3.88276e-19	7.53511e-12	0          	0          	0          
92.904     	-3.1646e-12	7.69138e-12	-4.05419e-19	4.76979e-19	4.16327e-19	7.9114e-12 	0          	0          	0          
93.492     	-3.19116e-12	7.38914e-12	-2.62247e-19	4.65312e-19	5.24156e-19	7.5093e-12 	0          	0          	0          
94.08      	-3.21767e-12	7.42933e-12	-2.89983e-19	4.67499e-19	3.53314e-19	7.84902e-12	0          	0          	0          
94.668     	-3.24603e-12	7.78587e-12	-3.97885e-19	4.84318e-19	4.82744e-19	7.95122e-12	0          	0          	0          
95.256     	-3.27144e-12	7.35962e-12	-2.26969e-19	4.66896e-19	4.82624e-19	7.62157e-12	0          	0          	0          
95.844     	-3.2984e-12	7.66757e-12	-3.49188e-19	4.80767e-19	3.57269e-19	8.10688e-12	0          	0          	0          
96.432     	-3.32567e-12	7.7697e-12 	-3.5872e-19	4.86679e-19	5.27703e-19	7.92716e-12	0          	0          	0          
97.02      	-3.35036e-12	7.40021e-12	-2.24844e-19	4.71352e-19	4.30167e-19	7.80389e-12	0          	0          	0          
97.608     	-3.37749e-12	7.85406e-12	-3.90365e-19	4.91767e-19	3.90523e-19	8.26636e-12	0          	0          	0          
98.196     	-3.40333e-12	7.69254e-12	-3.08757e-19	4.86167e-19	5.41242e-19	7.89614e-12	0          	0          	0          
98.784     	-3.4277e-12	7.49706e-12	-2.47822e-19	4.78143e-19	3.87152e-19	8.01037e-12	0          	0          	0          
99.372     	-3.45448e-12	7.95501e-12	-4.05427e-19	4.98956e-19	4.35386e-19	8.32683e-12	0          	0          	0          
99.96      	-3.47884e-12	7.59909e-12	-2.6438e-19	4.84714e-19	5.27687e-19	7.88802e-12	0          	0          	0          
100.548    	-3.50304e-12	7.61345e-12	-2.81987e-19	4.85673e-19	3.62647e-19	8.19428e-12	0          	0          	0          
101.136    	-3.52901e-12	7.96717e-12	-3.97239e-19	5.02123e-19	4.76501e-19	8.30973e-12	0          	0          	0          
101.724    	-3.55203e-12	7.51353e-12	-2.33273e-19	4.83377e-19	4.9775e-19 	7.90428e-12	0          	0          	0          
102.312    	-3.57593e-12	7.71126e-12	-3.15015e-19	4.92282e-19	3.55901e-19	8.32367e-12	0          	0          	0          
102.9      	-3.60068e-12	7.90524e-12	-3.7368e-19	5.01861e-19	5.0524e-19 	8.24062e-12	0          	0          	0          
103.488    	-3.62248e-12	7.43818e-12	-2.15614e-19	4.82287e-19	4.61878e-19	7.92888e-12	0          	0          	0          
104.076    	-3.64586e-12	7.7628e-12 	-3.39554e-19	4.9673e-19 	3.60953e-19	8.38382e-12	0          	0          	0          
104.664    	-3.66911e-12	7.78766e-12	-3.42834e-19	4.98938e-19	5.19429e-19	8.13718e-12	0          	0          	0          
